date,confirmed,deaths,recovered
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,1,0,0
2020-1-28,1,0,0
2020-1-29,1,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,1
2020-2-9,1,0,1
2020-2-10,1,0,1
2020-2-11,1,0,1
2020-2-12,1,0,1
2020-2-13,1,0,1
2020-2-14,1,0,1
2020-2-15,1,0,1
2020-2-16,1,0,1
2020-2-17,1,0,1
2020-2-18,1,0,1
2020-2-19,1,0,1
2020-2-20,1,0,1
2020-2-21,1,0,1
2020-2-22,1,0,1
2020-2-23,1,0,1
2020-2-24,1,0,1
2020-2-25,1,0,1
2020-2-26,1,0,1
2020-2-27,1,0,1
2020-2-28,1,0,1
2020-2-29,1,0,1
2020-3-1,1,0,1
2020-3-2,1,0,1
2020-3-3,1,0,1
2020-3-4,1,0,1
2020-3-5,1,0,1
2020-3-6,1,0,1
2020-3-7,1,0,1
2020-3-8,1,0,1
2020-3-9,1,0,1
2020-3-10,1,0,1
2020-3-11,2,0,1
2020-3-12,2,0,1
2020-3-13,6,0,1
2020-3-14,10,0,1
2020-3-15,18,0,1
2020-3-16,28,0,1
2020-3-17,44,0,1
2020-3-18,51,0,1
2020-3-19,60,0,3
2020-3-20,73,0,3
2020-3-21,77,0,1
2020-3-22,82,0,3
2020-3-23,97,0,3
2020-3-24,102,0,2
2020-3-25,102,0,3
2020-3-26,106,0,7
2020-3-27,106,0,7
2020-3-28,113,1,9
2020-3-29,117,1,11
2020-3-30,122,2,15
2020-3-31,143,2,17
2020-4-1,146,3,21
2020-4-2,151,4,21
2020-4-3,159,4,24
2020-4-4,166,5,27
2020-4-5,176,5,33
2020-4-6,178,5,38
2020-4-7,185,6,42
2020-4-8,189,7,44
2020-4-9,190,7,49
2020-4-10,190,7,54
2020-4-11,198,7,54
2020-4-12,210,7,56
2020-4-13,217,7,56
2020-4-14,233,7,61
2020-4-15,238,7,63
2020-4-16,238,7,68
2020-4-17,244,7,77
2020-4-18,254,7,86
2020-4-19,271,7,96
2020-4-20,304,7,98
2020-4-21,310,7,102
2020-4-22,330,7,105
2020-4-23,368,7,107
2020-4-24,420,7,109
2020-4-25,460,7,118
2020-4-26,523,7,120
2020-4-27,588,7,126
2020-4-28,619,7,134
2020-4-29,649,7,136
2020-4-30,663,7,154
2020-5-1,690,7,162
2020-5-2,705,7,172
2020-5-3,718,7,184
2020-5-4,751,8,194
2020-5-5,771,9,213
2020-5-6,797,9,215
2020-5-7,824,9,232
2020-5-8,835,9,240
2020-5-9,847,9,260
2020-5-10,863,9,321
2020-5-11,869,9,343
2020-5-12,889,9,366
2020-5-13,915,9,382
2020-5-14,925,9,445
2020-5-15,935,9,477
2020-5-16,960,9,520
2020-5-17,981,9,538
2020-5-18,992,9,559
2020-5-19,1027,9,569
2020-5-20,1028,9,584
2020-5-21,1055,9,604
2020-5-22,1068,9,620
2020-5-23,1089,9,660
2020-5-24,1141,9,674
2020-5-25,1182,10,695
2020-5-26,1319,10,712
2020-5-27,1469,10,732
2020-5-28,1530,10,745
2020-5-29,1558,10,754
2020-5-30,1620,10,781
2020-5-31,1633,10,801
2020-6-1,1643,11,811
2020-6-2,1683,11,823
2020-6-3,1749,11,836
2020-6-4,1797,11,839
2020-6-5,1801,11,858
2020-6-6,1814,11,891
2020-6-7,1835,11,941
2020-6-8,1857,11,990
2020-6-9,1859,11,1057
2020-6-10,1869,11,1122
2020-6-11,1877,11,1150
2020-6-12,1880,11,1196
2020-6-13,1884,11,1252
2020-6-14,1889,11,1287
2020-6-15,1905,11,1342
2020-6-16,1915,11,1371
2020-6-17,1924,11,1397
2020-6-18,1947,11,1421
2020-6-19,1950,11,1446
2020-6-20,1950,11,1472
2020-6-21,1950,11,1498
2020-6-22,1951,11,1526
2020-6-23,1991,11,1548
2020-6-24,2001,11,1562
2020-6-25,2010,11,1602
2020-6-26,2014,11,1619
2020-6-27,2033,11,1639
2020-6-28,2037,11,1661
2020-6-29,2039,11,1678
2020-6-30,2047,11,1711
2020-7-1,2054,11,1748
2020-7-2,2066,11,1827
2020-7-3,2069,11,1863
2020-7-4,2074,11,1885
2020-7-5,2076,11,1903
2020-7-6,2077,11,1917
2020-7-7,2081,11,1955
2020-7-8,2094,11,1967
2020-7-9,2154,11,1979
2020-7-10,2454,11,1980
2020-7-11,2511,11,1980
2020-7-12,2617,11,1981
2020-7-13,2646,11,1981
2020-7-14,2665,11,1988
2020-7-15,2671,11,2001
2020-7-16,2687,11,2007
2020-7-17,2697,11,2012
2020-7-18,2703,11,2023
2020-7-19,2724,11,2035
2020-7-20,2730,11,2041
2020-7-21,2730,11,2048
2020-7-22,2752,11,2064
2020-7-23,2753,11,2077
2020-7-24,2764,11,2094
2020-7-25,2770,11,2103
2020-7-26,2782,11,2106
2020-7-27,2805,11,2121
2020-7-28,2810,11,2296
2020-7-29,2810,11,2317
2020-7-30,2814,11,2333
2020-7-31,2815,11,2391
2020-8-1,2815,11,2439
2020-8-2,2823,11,2514
2020-8-3,2828,11,2517
2020-8-4,2834,11,2524
2020-8-5,2839,11,2537
2020-8-6,2839,11,2541
2020-8-7,2839,11,2564
2020-8-8,2841,11,2576
2020-8-9,2844,11,2579
2020-8-10,2871,11,2593
2020-8-11,2880,11,2622
2020-8-12,2881,11,2638
2020-8-13,2882,11,2646
2020-8-14,2886,11,2658
2020-8-15,2890,11,2666
2020-8-16,2893,11,2670
2020-8-17,2900,11,2676
2020-8-18,2902,11,2755
2020-8-19,2902,11,2760
2020-8-20,2918,11,2765
2020-8-21,2941,11,2789
2020-8-22,2947,12,2798
2020-8-23,2953,12,2805
2020-8-24,2959,12,2811
2020-8-25,2971,12,2816
2020-8-26,2984,12,2819
2020-8-27,2986,12,2830
2020-8-28,2989,12,2842
2020-8-29,2995,12,2849
2020-8-30,3012,12,2860
2020-8-31,3049,12,2868
2020-9-1,3092,12,2879
2020-9-2,3101,12,2883
2020-9-3,3111,12,2883
2020-9-4,3115,12,2907
2020-9-5,3121,12,2918
2020-9-6,3123,12,2925
2020-9-7,3123,12,2926
2020-9-8,3140,12,2935
2020-9-9,3147,12,2946
2020-9-10,3155,12,2955
2020-9-11,3169,12,2969
2020-9-12,3195,12,2983
2020-9-13,3234,12,2996
2020-9-14,3262,13,3005
2020-9-15,3271,13,3016
2020-9-16,3271,13,3021
2020-9-17,3276,13,3043
2020-9-18,3281,13,3060
2020-9-19,3283,13,3070
2020-9-20,3287,13,3088
2020-9-21,3299,13,3100
2020-9-22,3313,13,3118
2020-9-23,3324,13,3129
2020-9-24,3333,13,3142
2020-9-25,3345,13,3158
2020-9-26,3349,13,3186
2020-9-27,3360,13,3208
2020-9-28,3363,13,3210
2020-9-29,3374,13,3230
2020-9-30,3380,13,3230
2020-10-1,3382,13,3233
2020-10-2,3388,13,3245
2020-10-3,3395,13,3254
2020-10-4,3402,13,3258
2020-10-5,3513,13,3259
2020-10-6,4252,13,3266
2020-10-7,4459,13,3274
2020-10-8,4488,13,3278
2020-10-9,4523,13,3296
2020-10-10,4628,13,3306
2020-10-11,4752,13,3307
2020-10-12,4844,13,3317
2020-10-13,5038,13,3328
2020-10-14,5170,13,3357
2020-10-15,5244,13,3380
2020-10-16,5354,13,3385
2020-10-17,5475,13,3395
2020-10-18,5538,13,3403
2020-10-19,5625,13,3440
2020-10-20,5811,13,3457
