date,count
2020-02-18,1
2020-02-19,0
2020-02-20,1
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,2
2020-02-27,2
2020-02-28,5
2020-02-29,3
2020-03-01,1
2020-03-02,10
2020-03-03,6
2020-03-04,9
2020-03-05,1
2020-03-06,4
2020-03-07,7
2020-03-08,3
2020-03-09,1
2020-03-10,12
2020-03-11,10
2020-03-12,17
2020-03-13,25
2020-03-14,88
2020-03-15,65
2020-03-16,89
2020-03-17,151
2020-03-18,108
2020-03-19,162
2020-03-20,119
2020-03-21,149
2020-03-22,174
2020-03-23,143
2020-03-24,164
2020-03-25,128
2020-03-26,131
2020-03-27,152
2020-03-28,108
2020-03-29,136
2020-03-30,155
2020-03-31,224
2020-04-01,219
2020-04-02,250
2020-04-03,311
2020-04-04,295
2020-04-05,324
2020-04-06,394
2020-04-07,353
2020-04-08,376
2020-04-09,287
2020-04-10,397
2020-04-11,393
2020-04-12,609
2020-04-13,431
2020-04-14,342
2020-04-15,465
2020-04-16,548
2020-04-17,710
2020-04-18,522
2020-04-19,702
2020-04-20,642
2020-04-21,650
2020-04-22,774
2020-04-23,1141
2020-04-24,876
2020-04-25,816
2020-04-26,1075
2020-04-27,1869
2020-04-28,1139
2020-04-29,1545
2020-04-30,1397
2020-05-01,1107
2020-05-02,1681
2020-05-03,1636
2020-05-04,1045
2020-05-05,1491
2020-05-06,1147
2020-05-07,1553
2020-05-08,1821
2020-05-09,1424
2020-05-10,1282
2020-05-11,1057
2020-05-12,1078
2020-05-13,889
2020-05-14,1489
2020-05-15,938
2020-05-16,1081
2020-05-17,1254
2020-05-18,960
2020-05-19,1062
2020-05-20,1108
2020-05-21,1603
2020-05-22,1970
2020-05-23,1998
2020-05-24,1742
2020-05-25,1347
2020-05-26,1146
2020-05-27,1838
2020-05-28,1713
2020-05-29,1330
2020-05-30,1727
2020-05-31,1420
2020-06-01,1066
2020-06-02,1783
2020-06-03,2086
2020-06-04,1890
2020-06-05,1816
2020-06-06,1243
2020-06-07,1718
2020-06-08,1766
2020-06-09,1579
2020-06-10,1433
2020-06-11,1677
